,precision,recall,f1-score,support
Obese,0.847682119205298,0.5953488372093023,0.6994535519125683,215.0
Underweight,1.0,0.8529411764705882,0.9206349206349206,34.0
Overweight,0.742320819112628,0.8787878787878788,0.8048103607770583,495.0
Healthy,0.8985849056603774,0.8542600896860987,0.8758620689655172,446.0
accuracy,0.8176470588235294,0.8176470588235294,0.8176470588235294,0.8176470588235294
macro avg,0.8721469609945758,0.795334495538467,0.8251902255725161,1190.0
weighted avg,0.8272851504322842,0.8176470588235294,0.8157140439546672,1190.0
