,precision,recall,f1-score,support
Obese,0.89937106918239,0.6651162790697674,0.7647058823529411,215.0
Underweight,1.0,0.8823529411764706,0.9375,34.0
Overweight,0.7770034843205574,0.901010101010101,0.8344246959775491,495.0
Healthy,0.9133489461358314,0.874439461883408,0.8934707903780069,446.0
accuracy,0.8478991596638655,0.8478991596638655,0.8478991596638655,0.8478991596638655
macro avg,0.8974308749096948,0.8307296957849368,0.8575253421771243,1190.0
weighted avg,0.8565841467138409,0.8478991596638655,0.8469033291792943,1190.0
