,precision,recall,f1-score,support
Obese,0.823076923076923,0.49767441860465117,0.6202898550724638,215.0
Underweight,0.9411764705882353,0.47058823529411764,0.6274509803921569,34.0
Overweight,0.6833333333333333,0.8282828282828283,0.7488584474885844,495.0
Healthy,0.8103837471783296,0.804932735426009,0.8076490438695163,446.0
accuracy,0.7495798319327731,0.7495798319327731,0.7495798319327731,0.7495798319327731
macro avg,0.8144926185442054,0.6503695544019015,0.7010620817056803,1190.0
weighted avg,0.7635652854647677,0.7495798319327731,0.7441950060895518,1190.0
