,precision,recall,f1-score,support
Obese,0.8525641025641025,0.6186046511627907,0.7169811320754716,215.0
Underweight,0.9655172413793104,0.8235294117647058,0.8888888888888888,34.0
Overweight,0.7478411053540587,0.8747474747474747,0.8063314711359404,495.0
Healthy,0.8943661971830986,0.8542600896860987,0.8738532110091743,446.0
accuracy,0.819327731092437,0.819327731092437,0.819327731092437,0.819327731092437
macro avg,0.8650721616201426,0.7927854068402674,0.8215136757773687,1190.0
weighted avg,0.8278970918925208,0.819327731092437,0.8178535932275889,1190.0
