,accuracy,precision_weighted,recall_weighted,f1_score_weighted
Tuned SVC,0.8478991596638655,0.8565841467138409,0.8478991596638655,0.8469033291792943
Tuned XGBoost,0.8067226890756303,0.8089813048836376,0.8067226890756303,0.8075917126416872
Tuned Gradient Boosting,0.807563025210084,0.8087043770091767,0.807563025210084,0.8075406446889457
Tuned Random Forest,0.7815126050420168,0.7995959871638546,0.7815126050420168,0.777697600263218
Tuned KNN,0.7495798319327731,0.7635652854647677,0.7495798319327731,0.7441950060895518
