,precision,recall,f1-score,support
Obese,0.7387387387387387,0.7627906976744186,0.7505720823798627,215.0
Underweight,0.8,0.9411764705882353,0.8648648648648649,34.0
Overweight,0.7862745098039216,0.8101010101010101,0.7980099502487562,495.0
Healthy,0.9090909090909091,0.852017937219731,0.8796296296296297,446.0
accuracy,0.8210084033613445,0.8210084033613445,0.8210084033613445,0.8210084033613445
macro avg,0.8085260394083924,0.8415215288958489,0.8232691317807784,1190.0
weighted avg,0.8241086190221137,0.8210084033613445,0.8219396162227102,1190.0
