,precision,recall,f1-score,support
Obese,0.7875,0.586046511627907,0.672,215.0
Underweight,1.0,0.8235294117647058,0.9032258064516129,34.0
Overweight,0.7222222222222222,0.8404040404040404,0.776844070961718,495.0
Healthy,0.8732394366197183,0.8340807174887892,0.8532110091743119,446.0
accuracy,0.7915966386554621,0.7915966386554621,0.7915966386554621,0.7915966386554621
macro avg,0.8457404147104852,0.7710151703213606,0.8013202216469107,1190.0
weighted avg,0.7985523434726003,0.7915966386554621,0.79013411986315,1190.0
