,precision,recall,f1-score,support
Obese,0.7461928934010152,0.6837209302325581,0.7135922330097088,215.0
Underweight,0.967741935483871,0.8823529411764706,0.9230769230769231,34.0
Overweight,0.7595419847328244,0.804040404040404,0.7811579980372915,495.0
Healthy,0.8812785388127854,0.8654708520179372,0.8733031674208145,446.0
accuracy,0.807563025210084,0.807563025210084,0.807563025210084,0.807563025210084
macro avg,0.8386888381076241,0.8088962818668425,0.8227825803861845,1190.0
weighted avg,0.8087043770091767,0.807563025210084,0.8075406446889457,1190.0
