,precision,recall,f1-score,support
Obese,0.8527131782945736,0.5116279069767442,0.6395348837209303,215.0
Underweight,1.0,0.7352941176470589,0.847457627118644,34.0
Overweight,0.6972624798711755,0.8747474747474747,0.7759856630824373,495.0
Healthy,0.8722891566265061,0.8116591928251121,0.8408826945412311,446.0
accuracy,0.7815126050420168,0.7815126050420168,0.7815126050420168,0.7815126050420168
macro avg,0.8555662036980638,0.7333321730490975,0.7759652171158107,1190.0
weighted avg,0.7995959871638546,0.7815126050420168,0.777697600263218,1190.0
