,precision,recall,f1-score,support
Obese,0.7235023041474654,0.7302325581395349,0.7268518518518519,215.0
Underweight,0.967741935483871,0.8823529411764706,0.9230769230769231,34.0
Overweight,0.763671875,0.7898989898989899,0.7765640516385303,495.0
Healthy,0.8883720930232558,0.8565022421524664,0.8721461187214612,446.0
accuracy,0.8067226890756303,0.8067226890756303,0.8067226890756303,0.8067226890756303
macro avg,0.835822051913648,0.8147466828418655,0.8246597363221917,1190.0
weighted avg,0.8089813048836376,0.8067226890756303,0.8075917126416872,1190.0
